timestamp,model_name,task,framing,accuracy,log_loss,recall_Away,recall_Draw,recall_Home,mae,rmse,r2,auroc,precision_Away,precision_Draw,precision_Home,f1_Away,f1_Draw,f1_Home,outcome_accuracy
2026-08-04T19:37:10,logistic_regression,classification,3-class,0.4907894736842105,1.0309786053542824,0.4634146341463415,0.0558375634517766,0.7823343848580442,,,,,,,,,,,
2026-08-04T19:37:11,logistic_regression_no_odds,classification,3-class,0.4921052631578947,1.0473466110086562,0.491869918699187,0.0355329949238578,0.7760252365930599,,,,,,,,,,,
2026-08-04T19:37:11,bet365_odds,classification,3-class,0.5157894736842106,0.9946525535155578,0.5609756097560976,0.0,0.8012618296529969,,,,,,,,,,,
2026-08-04T19:37:11,logistic_regression_binary,classification,2-class,0.6856127886323268,0.5853939339091312,0.5040650406504065,,0.8264984227129337,,,,,,,,,,,
2026-08-04T19:37:11,bet365_odds_binary,classification,2-class,0.6962699822380106,0.5704086811510415,0.5609756097560976,,0.8012618296529969,,,,,,,,,,,
2026-08-04T19:37:11,linear_regression,regression,regression,,,,,,1.2509492912467624,1.5760253692523454,0.1871620689222839,,,,,,,,
2026-08-04T19:37:11,linear_regression_no_odds,regression,regression,,,,,,1.2912475012079283,1.634363050076343,0.1258728207651359,,,,,,,,
2026-08-04T19:41:43,logistic_regression,classification,3-class,0.4907894736842105,1.0309786053542824,0.4634146341463415,0.0558375634517766,0.7823343848580442,,,,,,,,,,,
2026-08-04T19:41:43,logistic_regression_no_odds,classification,3-class,0.4921052631578947,1.0473466110086562,0.491869918699187,0.0355329949238578,0.7760252365930599,,,,,,,,,,,
2026-08-04T19:41:43,logistic_regression_binary,classification,2-class,0.6856127886323268,0.5853939339091312,0.5040650406504065,,0.8264984227129337,,,,,,,,,,,
2026-08-04T19:41:43,bet365_odds,classification,3-class,0.5157894736842106,0.9946525535155578,0.5609756097560976,0.0,0.8012618296529969,,,,,,,,,,,
2026-08-04T19:41:43,bet365_odds_binary,classification,2-class,0.6962699822380106,0.5704086811510415,0.5609756097560976,,0.8012618296529969,,,,,,,,,,,
2026-08-04T19:41:43,linear_regression,regression,regression,,,,,,1.2509492912467624,1.5760253692523454,0.1871620689222839,,,,,,,,
2026-08-04T19:41:43,linear_regression_no_odds,regression,regression,,,,,,1.2912475012079283,1.634363050076343,0.1258728207651359,,,,,,,,
2026-08-04T19:44:11,random_forest_classifier,classification,3-class,0.5026315789473684,1.0212839565315377,0.5284552845528455,0.0507614213197969,0.7634069400630915,,,,,,,,,,,
2026-08-04T19:44:11,random_forest_classifier_no_odds,classification,3-class,0.475,1.0461483879354738,0.4878048780487805,0.0304568527918781,0.7413249211356467,,,,,,,,,,,
2026-08-04T19:44:11,random_forest_classifier_binary,classification,2-class,0.6980461811722913,0.6460006737282574,0.5772357723577236,,0.7917981072555205,,,,,,,,,,,
2026-08-04T19:44:12,random_forest_regressor,regression,regression,,,,,,1.2711166666666665,1.5905405261349923,0.1721206842616828,,,,,,,,
2026-08-04T19:44:13,random_forest_regressor_no_odds,regression,regression,,,,,,1.3017864058118445,1.64660823147784,0.1127252594192662,,,,,,,,
2026-08-04T22:03:15,xgboost_classifier,classification,3-class,0.4644736842105263,1.161742091178894,0.4105691056910569,0.065989847715736,0.7539432176656151,,,,,,,,,,,
2026-08-04T22:03:15,xgboost_classifier_no_odds,classification,3-class,0.4394736842105263,1.2055765390396118,0.3902439024390244,0.1015228426395939,0.6876971608832808,,,,,,,,,,,
2026-08-04T22:03:15,xgboost_classifier_binary,classification,2-class,0.6607460035523979,0.7054282426834106,0.516260162601626,,0.7728706624605678,,,,,,,,,,,
2026-08-04T22:03:15,xgboost_regressor,regression,regression,,,,,,1.3735281420853234,1.7403421711567468,0.0088329831529836,,,,,,,,
2026-08-04T22:03:15,xgboost_regressor_no_odds,regression,regression,,,,,,1.4248216102022286,1.801415795458254,-0.0619534658133411,,,,,,,,
2026-08-04T22:16:39,svm_classifier,classification,3-class,0.5078947368421053,1.031193199072538,0.4756097560975609,0.0,0.8485804416403786,,,,,,,,,,,
2026-08-04T22:16:43,svm_classifier_no_odds,classification,3-class,0.4921052631578947,1.0448293525997452,0.4674796747967479,0.0,0.8170347003154574,,,,,,,,,,,
2026-08-04T22:16:45,svm_classifier_binary,classification,2-class,0.6820603907637656,0.607090346810431,0.483739837398374,,0.8359621451104101,,,,,,,,,,,
2026-08-04T22:16:46,svm_regressor,regression,regression,,,,,,1.2906317064302977,1.631535116679928,0.1288952028713711,,,,,,,,
2026-08-04T22:16:47,svm_regressor_no_odds,regression,regression,,,,,,1.3315150458955844,1.6879855474309602,0.0675726550777003,,,,,,,,
2026-08-04T22:39:05,neural_network_classifier,classification,3-class,0.4342105263157895,2.9745797824645885,0.3739837398373983,0.1776649746192893,0.6403785488958991,,,,,,,,,,,
2026-08-04T22:39:11,neural_network_classifier_no_odds,classification,3-class,0.3921052631578947,3.261625885782507,0.3495934959349593,0.233502538071066,0.5236593059936908,,,,,,,,,,,
2026-08-04T22:39:15,neural_network_classifier_binary,classification,2-class,0.5914742451154529,2.561799706174015,0.491869918699187,,0.668769716088328,,,,,,,,,,,
2026-08-04T22:39:17,neural_network_regressor,regression,regression,,,,,,1.7669233123058457,2.25389460625983,-0.6624353387514279,,,,,,,,
2026-08-04T22:39:20,neural_network_regressor_no_odds,regression,regression,,,,,,1.8914731780217693,2.4131578406120853,-0.905675770879367,,,,,,,,
2026-08-04T22:59:09,pytorch_classifier,classification,3-class,0.4486842105263158,1.2462588548660278,0.4146341463414634,0.1370558375634517,0.668769716088328,,,,,,,,,,,
2026-08-04T22:59:09,pytorch_regressor,regression,regression,,,,,,1.3640655975886866,1.7368373257883545,0.0128211518991575,,,,,,,,
2026-08-05T10:47:01,logistic_regression,classification,3-class,0.4907894736842105,1.0309786053542824,0.4634146341463415,0.0558375634517766,0.7823343848580442,,,,,0.4913793103448275,0.2291666666666666,0.5166666666666667,0.4769874476987448,0.0897959183673469,0.6223337515683814,
2026-08-05T10:47:01,logistic_regression_no_odds,classification,3-class,0.4921052631578947,1.0473466110086562,0.491869918699187,0.0355329949238578,0.7760252365930599,,,,,0.5062761506276151,0.1944444444444444,0.5072164948453608,0.4989690721649484,0.0600858369098712,0.6134663341645885,
2026-08-05T10:47:01,logistic_regression_binary,classification,2-class,0.6856127886323268,0.5853939339091312,0.5040650406504065,,0.8264984227129337,,,,0.7505834679797903,0.6927374301675978,,0.6822916666666666,0.5835294117647059,,0.7475035663338089,
2026-08-05T10:47:01,bet365_odds,classification,3-class,0.5157894736842106,0.9946525535155578,0.5609756097560976,0.0,0.8012618296529969,,,,,0.4946236559139785,0.0,0.5280665280665281,0.5257142857142857,0.0,0.6365914786967418,
2026-08-05T10:47:01,bet365_odds_binary,classification,2-class,0.6962699822380106,0.5704086811510415,0.5609756097560976,,0.8012618296529969,,,,0.7618424764689288,0.6865671641791045,,0.7016574585635359,0.6174496644295302,,0.748159057437408,
2026-08-05T10:47:01,linear_regression,regression,regression,,,,,,1.2509492912467624,1.5760253692523454,0.1871620689222839,,,,,,,,0.4513157894736842
2026-08-05T10:47:01,linear_regression_no_odds,regression,regression,,,,,,1.2912475012079283,1.634363050076343,0.1258728207651359,,,,,,,,0.4473684210526316
2026-08-05T10:47:01,random_forest_classifier,classification,3-class,0.5026315789473684,1.0212839565315377,0.5284552845528455,0.0507614213197969,0.7634069400630915,,,,,0.4887218045112781,0.303030303030303,0.5249457700650759,0.5078125,0.0869565217391304,0.622107969151671,
